tanggal,waktu,latitude,longitude,kedalaman,magnitudo,daerah
03 Desember 2022,18:48:06,-0.54,123.37,32,2.3,"Minahassa Peninsula, Sulawesi"
03 Desember 2022,17:57:32,-4.81,100.67,10,4.3,"Southwest of Sumatra, Indonesia"
03 Desember 2022,17:18:19,-1.48,99.35,10,2.2,"Northern Sumatra, Indonesia"
03 Desember 2022,17:10:23,-5.22,96.23,10,1.9,"Northern Sumatra, Indonesia"
03 Desember 2022,16:59:55,-0.34,122.33,113,2.6,"Minahassa Peninsula, Sulawesi"
03 Desember 2022,16:49:03,-6.89,105.45,28,2.7,"Sunda Strait, Indonesia"
03 Desember 2022,16:32:12,-1.72,126.51,10,3.4,Northern Molucca Sea
03 Desember 2022,15:50:56,-0.18,99.97,10,2.5,"Northern Sumatra, Indonesia"
03 Desember 2022,13:28:19,-2.49,121.07,10,2,"Sulawesi, Indonesia"
03 Desember 2022,13:18:47,-2.46,121.07,5,1.8,"Sulawesi, Indonesia"
03 Desember 2022,13:11:35,-8.28,109.02,26,2.7,"Java, Indonesia"
03 Desember 2022,12:56:42,-0.01,123.54,123,3.8,"Minahassa Peninsula, Sulawesi"
03 Desember 2022,12:02:48,-8.3,109,27,2.4,"Java, Indonesia"
03 Desember 2022,11:52:13,-8.13,117.71,10,2.5,"Sumbawa Region, Indonesia"
03 Desember 2022,11:50:26,-8.94,124.23,77,3.3,Timor Region
03 Desember 2022,11:30:53,-5.74,104.01,10,3,"Southern Sumatra, Indonesia"
03 Desember 2022,11:26:35,-6.84,107.07,10,3.1,"Java, Indonesia"
03 Desember 2022,10:59:01,-7.6,107.52,103,3.2,"Java, Indonesia"
03 Desember 2022,10:40:47,-2.53,121.22,10,2.9,"Sulawesi, Indonesia"
03 Desember 2022,10:39:30,-2.52,121.2,10,2.8,"Sulawesi, Indonesia"
03 Desember 2022,10:29:37,-10.34,123.84,12,3,Timor Region
03 Desember 2022,10:22:48,-10.31,123.84,12,3.5,Timor Region
03 Desember 2022,9:49:42,-7.33,107.55,119,6.1,"Java, Indonesia"
03 Desember 2022,8:55:41,-3.12,126.51,47,4,"Talaud Islands, Indonesia"
03 Desember 2022,8:10:51,-4.44,96.6,123,3,"Northern Sumatra, Indonesia"
03 Desember 2022,5:22:34,-1.7,126.55,10,3.6,Northern Molucca Sea
03 Desember 2022,5:08:42,-9.55,117.89,10,4.1,"Sumbawa Region, Indonesia"
03 Desember 2022,3:25:02,-6.83,107.07,10,1.8,"Java, Indonesia"
03 Desember 2022,2:19:36,-3.14,122.63,495,4.3,Celebes Sea
03 Desember 2022,2:13:50,-8.41,108.94,14,2.8,"Java, Indonesia"
03 Desember 2022,1:59:56,-2.8,139.46,11,4.3,Near North Coast of Irian Jaya
03 Desember 2022,1:37:08,-1.39,128.82,10,3.2,"Halmahera, Indonesia"
02 Desember 2022,23:15:10,-0.29,119.57,20,2.9,"Minahassa Peninsula, Sulawesi"
02 Desember 2022,23:03:45,-9.58,123.25,85,4,Timor Region
02 Desember 2022,22:52:23,-0.22,123.45,28,2.5,"Minahassa Peninsula, Sulawesi"
02 Desember 2022,22:09:53,-6.79,107.07,10,2.2,"Java, Indonesia"
02 Desember 2022,21:51:33,-1.89,128.4,10,3.4,"Halmahera, Indonesia"
02 Desember 2022,20:37:22,-8.11,107.91,24,4.6,"Java, Indonesia"
02 Desember 2022,18:43:48,-8.29,107.21,10,2.8,"Java, Indonesia"
02 Desember 2022,18:16:35,-4.24,102.38,50,2.7,"Southern Sumatra, Indonesia"
02 Desember 2022,17:54:34,-6.84,107.01,10,1.8,"Java, Indonesia"
02 Desember 2022,16:18:14,-7.13,107.02,147,2.2,"Java, Indonesia"
02 Desember 2022,16:09:23,-0.55,120.36,16,2.6,"Minahassa Peninsula, Sulawesi"
02 Desember 2022,14:43:06,-10.04,121.07,10,3,Savu Sea
02 Desember 2022,14:32:22,-2.52,120.89,22,1.5,"Sulawesi, Indonesia"
02 Desember 2022,13:41:29,-6.8,107.09,12,1.5,"Java, Indonesia"
02 Desember 2022,12:49:08,-8.59,121.63,176,4.4,"Flores Region, Indonesia"
